Genus,Species,q,r,Vr,CVN,MA_Yr,RW-Yr,EX_Yr,RL_Yr,GL_Yr,TL_Yr,MA_G,RW_G,EX_G,RL_G,GL_G,TL_G,TI,BS,RA,HI,EF,DE,Mass,Len,Wing,RepT,MinAge,Lifesp,GenF,Gen,RepG,DispA,DirL,IndL,Sev,RanD,N,Dist,Den,Fert,NTr,TrL,Spec,Hum,Status,LegProt
Calidris,alba,20,0.014166384,0.038323641,0.175664551,4.534426984,7.166902988,6.180190555,4.449737415,4.422628268,4.424827468,4.584258927,7.097351666,6.575789271,4.505200521,4.469162754,4.476765101,0,5.913503006,0,0.4,0.285714286,0.666666667,57,205,370,2,12,120,,,4,1,1,1,2,1,2,1,,4,2,5,1,2,LC,1
Calidris,alpina,20,0.016951351,0.017009159,0.191945964,5.461637901,6.246873819,5.131140275,4.518701451,4.488505479,20.72326584,5.357396805,5.883674047,5.430849897,4.587538972,4.552700979,20.72326584,0,5.899897354,0,0.4,0.142857143,0.5,47,190,365,2,10,240,,,4,1,1,1,2,1,1,1,,4,2,4,1,2,LC,1
Calidris,canutus,20,-0.00778827,0.024732342,0.193788266,5.43519215,6.60273862,7.276053548,4.522959731,4.477593084,4.483174527,5.895173426,7.533181198,8.160509235,4.691180838,4.572583645,4.643193277,0,6.204557763,0,0.4,0.285714286,0.666666667,137,240,495,2,24,168,,,4,1,1,1,2,1,2,1,,3,2,5,1,2,LC,1
Limosa,lapponica,20,0.005522567,0.031442672,0.125924371,4.363300635,6.942887303,6.484849259,4.349837692,4.331796922,4.342480473,4.442320597,8.069426012,7.617353517,4.402696245,4.414082521,4.419579663,0,6.620073207,0,0.4,0.261904762,0.666666667,343,390,750,2,24,240,,,4,2,1,1,2,1,1,1,,4,2,4,1,2,LC,1
Limosa,limosa,20,0.052859011,0.04484195,0.321700656,5.376510584,7.532169665,4.915935014,4.833783163,4.729946953,4.764042414,5.414452211,7.064807756,5.636427603,4.957768538,4.793059538,4.807440722,0,6.633318433,0,0.4,0.261904762,0.5,291,400,760,2,10,216,,,4,2,1,1,2,1,1,1,,4,2,4,1,2,LC,1
Numenius,arquata,20,0.014634313,0.013330667,0.122441612,4.567083565,6.049939335,5.053318439,4.31418277,4.282147739,4.290389684,4.593458173,5.931015599,5.386991956,4.336317379,4.323251492,4.33013283,0,6.802394763,0,0.4,0.261904762,0.666666667,600,550,900,2,12,240,,,4,2,1,1,2,1,1,1,,4,2,4,1,2,LC,1
Scolopax,rusticola,94,0.023188159,0.278422135,0.494062708,5.530493814,12.37020483,10.55910512,5.803987792,5.545626093,5.382071167,5.72818049,12.18389571,11.29925639,6.051088999,5.73958594,5.613727573,0,6.363028104,0,0.4,0.619047619,0.666666667,310,340,580,2,12,180,,,5,2,1,1,2,1,1,1,,4,2,4,2,2,LC,1
Tringa,nebularia,18,-3.4721E-13,0.099488189,0.277436624,7.10607092,9.118987758,9.012503566,5.12015172,5.156506911,5.030506391,7.298694469,9.306766351,9.297204895,5.291984724,5.345237716,5.130700441,0,6.536691598,0,0,0.261904762,0.666666667,174,330,690,2,14,120,,,4,2,1,0,1,1,2,1,,4,2,4,1,2,LC,1
Tringa,totanus,20,0.018126146,0.016798798,0.144094815,4.47242047,6.260522068,5.077876862,4.335456313,4.315605592,4.325152481,4.535358222,6.278447281,5.583222654,4.389181913,4.373570781,4.365188969,0,6.43775165,0,0.4,0.404761905,0.833333333,129,280,625,2,14,120,,,4,2,1,1,2,1,2,1,,8,2,5,1,2,LC,1
Ardea,cinerea,70,0.004969202,0.009591028,0.174198313,5.004171062,5.763921846,5.391570662,4.570733654,4.391841916,4.53731822,5.36228499,6.347841964,6.060267828,4.817555699,4.484762017,4.709591761,1,7.522940918,0,0.4,0.523809524,0.666666667,1443,940,1850,2,24,360,,,1,3,1,1,2,1,1,1,,4,3,5,1,1,LC,1
